site,transect,emu,order,lat,long,hobo
Fenton,Meadow,Natalie,1,41.82517,-72.23813,
Fenton,Meadow,Marie,2,41.82508,-72.23812,
Fenton,Meadow,Santiago,3,41.82501,-72.23812,
Fenton,Meadow,Simona,4,41.82495,-72.2381,
Fenton,Woods,Charlotte,1,41.82439,-72.23903,
Fenton,Woods,Roger,2,41.82444,-72.23897,
Fenton,Woods,MaryLee,3,41.82451,-72.23892,
Fenton,Woods,Simon,4,41.82458,-72.23886,
HEEP,Forest,Norman,1,41.81738,-72.2696,
HEEP,Forest,Neville,2,41.81739,-72.26969,
HEEP,Forest,Henrietta,3,41.81741,-72.26978,
HEEP,Forest,Luna,4,41.81745,-72.26988,
HEEP,Pipeline,,1,41.81652,-72.26758,
HEEP,Pipeline,,2,41.81649,-72.26768,
HEEP,Pipeline,,3,41.81648,-72.2678,
HEEP,Pipeline,,4,41.81645,-72.2679,
HEEP,Swamp,Tina,1,41.81693,-72.26958,
HEEP,Swamp,Legolas,2,41.81685,-72.26947,
HEEP,Swamp,Galadriel,3,41.8168,-72.26937,
HEEP,Swamp,Fernando,4,41.81673,-72.26923,
Fenton,Meadow,,1,41.82517,-72.23813,FM1
Fenton,Meadow,,2,41.82508,-72.23812,FM2
Fenton,Meadow,,3,41.82501,-72.23812,FM3
Fenton,Meadow,,4,41.82495,-72.2381,FM4
Fenton,Woods,,1,41.82439,-72.23903,FW1
Fenton,Woods,,2,41.82444,-72.23897,FW2
Fenton,Woods,,3,41.82451,-72.23892,FW3
Fenton,Woods,,4,41.82458,-72.23886,FW4